,caderaIzq_x,caderaIzq_y,caderaIzq_z,caderaDer_x,caderaDer_y,caderaDer_z,rodillaIzq_x,rodillaIzq_y,rodillaIzq_z,rodillaDer_x,rodillaDer_y,rodillaDer_z,pieIzq_x,pieIzq_y,pieIzq_z,pieDer_x,pieDer_y,pieDer_z
35,-16.155431425738698,39.79570797290032,709.9709440882247,-138.78021189032367,22.104330333700236,728.4712783723827,4.435597514126968,-52.069507519551465,400.60779735141057,-83.26307506125713,-79.9621329135741,397.83347210118745,-41.51048424256814,49.05614527811397,108.7955468217319,-171.57755762510666,42.08037376680728,127.26120275855776
36,-11.252847725184168,32.95056211857647,710.0922432088944,-134.58144771278492,17.664891011141293,730.3216756596768,4.829960726563954,-57.58616049625424,403.295097560005,-86.89610052537762,-74.197092037712,397.4244946443486,-41.36515694194786,49.20066355461776,107.27383473677492,-168.1622410921064,39.17606300514177,122.730644308741
37,-5.825854498079124,28.430179638837416,711.2203357944527,-125.81247054595448,15.02648321794527,734.2454533534143,1.3394871617643247,-62.61545312146511,404.69336974674064,-89.03326457075383,-75.13016853493446,398.6407853810072,-41.47919080675554,52.790713440298845,108.46601686118262,-161.01047080689835,32.491157684902674,117.8583539525156
38,-0.4491773366140421,34.47162149565264,712.9141497989131,-121.50007229415252,27.86118932988782,741.2612604489656,-9.539907961127454,-72.09830634053885,409.0342624812841,-106.02120528327362,-65.95662063837597,405.44004064869694,-34.295063519593086,61.37581158979516,107.12311308108684,-153.7859622770477,23.16930148583775,118.2128666258007
39,4.812629005752555,42.95318880948193,720.7937371654297,-111.9032729716058,46.04102815584318,754.0194315515071,-28.270699390811657,-75.7094753383449,409.774157200158,-127.26560454501303,-46.01844617248355,429.6295720174251,-18.05426614279281,72.70541891292004,105.87775776393796,-159.5402859010553,9.559205077573624,131.18351182310454
40,7.056728643983746,30.839874930364346,732.2003551482474,-102.7585946512922,59.27757556534021,762.5856989832745,-43.21055449611316,-57.1296011494226,429.5415554930365,-143.64128768819825,-1.460063788503703,451.38703591845416,14.251663310741364,66.37105795243613,90.41293949429743,-181.16487611881536,-6.607758679162679,135.64491516850356
41,10.613076572048882,11.991677732690704,741.5335417102895,-85.9872086754037,65.7393527927403,770.0842072992543,-46.10499540608325,-33.36884974485261,448.75410619997103,-138.01391188495032,39.53609623843222,471.8594070433676,38.13131650571131,53.16496746212147,94.31396639870344,-194.38746609650445,2.963413547327576,175.98869448683453
42,9.23058877690312,0.220075551467346,751.2015286067648,-42.21712804332219,140.84418955805117,795.0980011328194,-43.65038065321032,-16.194781294647512,448.50916976474485,-121.2311498445057,74.39364724410527,479.3974689975504,52.005963829695474,15.848605534081996,89.00364791274151,-197.20959304719344,58.18593737732815,196.68805679683945
43,-1.0739298597351024,-16.22000390831559,762.4615371528885,-12.344996030664037,169.44266864981742,793.895137863716,-34.0444488456191,10.014077614171953,453.5977728567034,-92.67602703339364,110.36943914816612,469.33598679562095,52.77049010544181,-33.53830650608568,90.26205054167488,-172.30588589669986,129.6481116949542,191.52334251437796
44,-8.210636864779588,-48.6549880442646,773.6208949732236,-70.17586076119801,-18.37516772661607,779.558665898265,-15.508234376846984,25.66001740071647,435.3336327359256,-64.52170726518159,117.53192890984826,432.2533814238621,47.028390516400464,-69.69105462157417,88.22435125294992,-119.44794255461704,186.951825266996,180.59274218714927
45,-29.31470978787418,-75.39971792352733,780.7691466464989,35.85075438342753,36.1348839115212,792.7023638253228,-13.908345134186334,76.78197032407525,451.8669267131958,-6.523911003229429,-29.14947663128531,446.2668110093658,35.27158342169096,-88.6546113900148,90.91056823279114,-66.58999921253422,244.2555388390378,169.6621418599206
46,-55.342324057949895,-61.07330156645898,788.7203433155961,48.27261359667915,-29.959237318578232,787.3201080308227,-23.478235554296788,-18.260455849723755,453.8228710611912,31.437472114645857,47.6441243489533,461.3494439871874,15.927835924865876,-96.24383696845643,94.50625903582548,0.2894912872973805,254.01111501543411,150.1065870182974
47,-74.95486519987338,-47.66076060477124,797.7008595792083,34.697238384214984,-47.27828350909601,785.5371974124122,-3.15967630154114,-50.90413080394592,458.8684347507256,31.07028525960905,56.37034169307117,432.8956048972281,2.141439251892365,-94.80385892771552,96.11220700478752,60.289401543382326,225.48515087711064,137.79507072458995
48,-83.98037575364273,-20.89215089884604,800.4775194416288,15.638397914360269,-67.56410157982668,783.2363186766111,0.9931517463723908,-49.6696718814416,462.8580650771941,28.17546549128113,77.88266844778548,427.2068915566086,-11.894757771205777,-86.40513511206827,105.0026891395645,123.41107079338887,160.29876511163496,136.19990977824528
49,-90.87252353705036,-3.0662767986520407,804.1074956701561,1.3229597679347904,-67.43966268632772,780.1734546577801,-16.704809533973247,-5.916525442088272,460.54691293581857,66.29342904154342,18.87383701331672,451.741065507314,-29.80685486624432,-68.15954788435045,99.55683422762364,163.0721717999736,92.926113737552,131.8683141876776
50,-87.30393543391187,70.07440795063104,803.2642212903172,-38.68306195396951,-59.27578609848618,788.9052793993912,-25.02148033117216,30.740735970313736,460.0338655704878,69.02957631691396,0.0448283472934889,453.0389617273448,-45.548906815447125,-45.80766218150976,101.83984264467414,188.440281955832,16.63448401773104,132.6193611180178
51,-86.18042565226042,107.52183544453533,803.4492575847654,-53.24790481320417,-58.73543045774525,791.7013277853146,-27.109696493412105,31.077754899859187,458.023296993434,71.84196002438023,-27.38083601874932,451.4937936158862,-54.05292289613806,-21.109960356114343,106.41444278813944,197.3297563325118,-56.0623026155375,136.74029331620818
52,-72.92299022437734,132.23199875185463,802.1008215785478,-60.31688771245621,-31.14800065414337,789.1635458739879,-23.161530974147663,28.015173576491733,458.2909550791101,74.13366434625078,-65.34769675979766,458.2845751488951,-51.44325089739738,12.713169509771888,109.8395737519775,193.27358128982317,-119.85946752765838,139.56697057041023
53,-22.559954774853463,82.68341238556667,788.8354521189115,-69.58305579431257,-4.980962838408772,789.4287019406128,-12.025906301769568,31.87447571822409,454.31894692671904,69.50880336850048,-79.96080634424071,457.0492557856808,-43.93459438766395,33.89451868724029,113.51429274192024,181.312035597143,-172.68728508415722,139.88008202402744
