,caderaIzq_fx,caderaDer_fx,rodillaIzq_fx,rodillaDer_fx,pieIzq_fx,pieDer_fx,caderaIzq_fy,caderaDer_fy,rodillaIzq_fy,rodillaDer_fy,pieIzq_fy,pieDer_fy,caderaIzq_fz,caderaDer_fz,rodillaIzq_fz,rodillaDer_fz,pieIzq_fz,pieDer_fz
0,-40.499075236812516,-150.47903294202962,-46.46093977077853,-107.01314725210852,-40.381882794756656,-80.08890474083854,32.465801966231254,21.04582472677855,16.42264040340545,-6.341209386322343,46.62477781267981,29.130658936338047,771.400169267276,786.5467511570401,460.16606534941616,468.34234047639666,111.36558821967685,120.38416403168158
1,-40.47936910890056,-150.47723706787258,-46.44014297461483,-107.00700697205164,-40.37622414348337,-80.0825753934468,32.50704114550498,21.05620150059488,16.396212018272966,-6.387702575715102,46.64663563549484,29.16037692312575,771.395556223701,786.5494692001489,460.13248701615737,468.3351344690744,111.34843825297848,120.36223350909236
2,-40.42457376647599,-150.4715986557874,-46.381683602262115,-106.98895641559838,-40.35990990824446,-80.06513789647543,32.62017526921851,21.08423964770965,16.32255633859888,-6.516827599620292,46.707894720863955,29.242848565198948,771.3828677676381,786.5574275168046,460.03887648035055,468.31509584742156,111.30068496496875,120.30103033397994
3,-40.34117377150575,-150.46174152135302,-46.29145817792795,-106.95955100832478,-40.33393266691132,-80.03891806773026,32.789329216210334,21.12530090662153,16.21011757796823,-6.713052641628282,46.80208349417321,29.368050385122793,771.3638299110806,786.5703323880012,459.89592043795045,468.2845937119096,111.22787327377577,120.2074370953273
4,-40.23565368595677,-150.4472894801483,-46.17536322581991,-106.91934617580691,-40.2992849973554,-80.00624172501712,32.998627865319,21.1747470158292,16.067339949966073,-6.960845885329439,46.922730380808645,29.52595890546242,771.340168666022,786.5878900947326,459.7143055849117,468.24599716300986,111.13554809752759,120.08833638211732
5,-40.11449807179599,-150.42786634775217,-46.039295270145566,-106.86889734362083,-40.256959477448085,-79.9694346861418,33.23219609538303,21.227939713831333,15.902667668177447,-7.244675514314133,47.06336380615629,29.706550648782983,771.3136100444556,786.6098069179928,459.5047186171888,468.2016753011935,111.02925435435229,119.95061078333292
6,-39.984191490990355,-150.40309593974357,-45.88915083511249,-106.80875993734261,-40.2079486850608,-79.93082276891012,33.47415878524092,21.280240739126597,15.724544946187397,-7.549009712172731,47.21751219560222,29.899802137649626,771.2858800583748,786.6357891387759,459.27784623073643,468.15399722693195,110.91453696237798,119.80114288795706
7,-39.85121850550681,-150.37260207170135,-45.73082644492824,-106.73948938254831,-40.153245198064944,-79.89273179112791,33.708640813731186,21.32701183021367,15.541415997580971,-7.858316662495601,47.37870397453245,30.09568989462749,771.2587047197729,786.6655430380755,459.0443751215092,468.10533204069645,110.79694083973273,119.64681528497262
8,-39.72206367731228,-150.33600855920452,-45.5702186238004,-106.661641104814,-40.093841594331955,-79.85748757060098,33.91976705969237,21.363614725591226,15.361725035943216,-8.157064548873114,47.54046756833304,30.284190442281723,771.2338100406433,786.6987748968859,458.81499198546163,468.0580488429584,110.6820109045446,119.49451056336254
9,-39.60321156837371,-150.29293921783187,-45.413223895936525,-106.57577052971568,-40.03073045173324,-79.82741592513513,34.09166240196297,21.38541116375794,15.193916274859173,-8.429721554895636,47.696331402390044,30.45528030317747,771.2129220329792,786.7351909962007,458.6003835185484,468.0145167341889,110.57529207494169,119.35111131210975
10,-39.501146740658044,-150.2430178631624,-45.26573878554421,-106.48243308282947,-39.9649043481402,-79.80484267253621,34.208451719381515,21.387762883212485,15.046433927913888,-8.660755864153536,47.839823902089485,30.598935999879874,771.1977667087743,786.7744976170143,458.41123641672425,467.9771048148594,110.48232926905207,119.22350012019717
11,-39.420165807748056,-150.18589201645148,-45.13237736940628,-106.3826659315229,-39.89745081564181,-79.79156173793832,34.258556031643195,21.36703322834529,14.925703074035143,-8.838166283061089,47.96590003956965,30.707429927514678,771.1894415228716,786.8161813014168,458.2561847928412,467.9479597006753,110.40746084699023,119.11705686387465
12,-39.35581358968987,-150.12130402166053,-45.01262393460665,-106.27943321032949,-39.829837203197194,-79.7872394757889,34.24758092186988,21.323591967113824,14.830072253521639,-8.964074109328179,48.07522097397769,30.78221797145001,771.1865297015132,786.8588496358853,458.13565242734205,467.928338068279,110.35019893681621,119.03115056845982
13,-39.30144695814549,-150.0490199284275,-44.90468032080454,-106.1761807955742,-39.76362581398303,-79.79101034786362,34.18542811404014,21.25881047336731,14.755870872014816,-9.0441312634886,48.169874411213016,30.827051889614598,771.1869859137911,786.9008904679928,458.0480105175669,467.9192741095468,110.3088491085765,118.96364754653723
14,-39.25042278477687,-149.96880578639016,-44.806748367659125,-106.07635456358202,-39.70037895117601,-79.80200881593822,34.08199933213253,21.174060120954977,14.69942833515611,-9.083989666076148,48.25194805717499,30.845683439937165,771.1887648287974,786.9406916453128,457.99163026085625,467.92180201635506,110.2817169323175,118.91241411069144
15,-39.19609794124598,-149.88042764518656,-44.717029914829624,-105.98340039067794,-39.64165891795282,-79.81936934178844,33.94719630012561,21.07071228372604,14.65707404858696,-9.089301237624612,48.32352961776304,30.841864380346433,771.1898211156242,786.9766410154183,457.96488285455024,467.9369559805803,110.26710797808566,118.875316573507
16,-39.13182929921481,-149.7836515544545,-44.63372680197521,-105.90076415318697,-39.58902801749013,-79.84222638718997,33.79092074199794,20.950138335529733,14.625137417948803,-9.065717898667787,48.386706798876546,30.819346468771137,771.1881094433635,787.0071264258826,457.96613949598907,467.96577019409887,110.26332781592748,118.8502212475685
