,caderaDer_x,caderaDer_y,caderaDer_z,pieDer_x,pieDer_y,pieDer_z,pieIzq_x,pieIzq_y,pieIzq_z,rodillaDer_x,rodillaDer_y,rodillaDer_z,rodillaIzq_x,rodillaIzq_y,rodillaIzq_z,caderaIzq_x,caderaIzq_y,caderaIzq_z
36,-133.06,18.265,731.01,-166.92,37.916,122.62,-41.452,50.349,108.18,-86.397,-76.43,397.97,3.535,-57.424,402.87,-11.078,33.725,710.43
37,-127.3,20.184,735.28,-160.99,31.612,119.6,-39.046,54.456,107.62,-93.984,-71.761,400.5,-1.1235,-64.1,405.67,-5.8426,31.951,711.41
38,-119.74,29.643,743.18,-158.11,21.74,122.42,-31.276,62.291,107.16,-107.44,-62.368,411.24,-12.157,-70.141,407.83,-0.48747,35.285,714.98
39,-112.05,44.393,752.62,-164.83,8.7069,128.35,-12.699,66.817,101.14,-125.64,-37.812,428.82,-27.007,-68.312,416.12,3.8067,36.088,721.97
40,-100.22,57.019,762.23,-178.36,1.9716,147.61,11.443,64.08,96.868,-136.31,-2.6475,450.96,-39.195,-55.403,429.36,7.4941,28.595,731.51
41,-76.988,88.62,775.92,-190.92,18.181,169.44,34.796,45.128,91.244,-134.3,37.49,467.55,-44.322,-35.564,442.27,8.9668,14.351,741.65
42,-46.85,125.34,786.36,-187.97,63.599,188.07,47.636,11.825,91.193,-117.31,74.766,473.53,-41.267,-13.183,450.29,6.2566,-1.3361,751.73
43,-41.579,97.304,789.52,-162.99,124.93,189.6,50.602,-29.127,89.163,-92.81,100.77,460.33,-31.068,6.4931,445.81,-0.017993,-21.552,762.43
44,-15.557,62.401,788.72,-119.45,186.95,180.59,45.023,-63.961,89.799,-54.574,66.251,449.29,-21.154,37.485,446.93,-12.866,-46.758,772.28
45,4.6492,-4.0665,786.53,-61.916,228.41,166.79,32.743,-84.863,91.214,-13.203,45.342,446.62,-17.632,28.061,447.01,-30.956,-61.709,781.04
